mc	logL
2.14586772668858175166e+04       -8.738717e-22
1.91457319538285883027e+04       -7.233155e-22
1.64614821614820575633e+04       -5.625718e-22
1.59380824642474835855e+04       -5.339167e-22
1.48563724052078687237e+04       -4.747303e-22
1.39789649299796128616e+04       -4.284820e-22
1.31304761085126501712e+04       -3.855737e-22
1.18729630941423383774e+04       -3.259799e-22
1.14374558022962519317e+04       -3.067989e-22
1.13173108350493930629e+04       -3.008666e-22
8.09721319289641360228e+03       -1.722989e-22
7.93058967318173927197e+03       -1.671911e-22
7.85722686558217810671e+03       -1.640621e-22
7.38467213746067136526e+03       -1.478758e-22
7.29002143286254704435e+03       -1.445628e-22
6.98064301333224921109e+03       -1.348129e-22
6.93420143850991007639e+03       -1.334631e-22
6.59698778382997534209e+03       -1.222797e-22
6.24033088360246529191e+03       -1.111559e-22
6.20279923446370321471e+03       -1.100872e-22
5.90565657028338682721e+03       -1.019586e-22
5.59542249019441624114e+03       -9.319179e-23
5.27113286205778058502e+03       -8.420098e-23
5.17822353042063696194e+03       -8.153895e-23
5.09906713869518625870e+03       -7.974245e-23
5.06045618155253123405e+03       -7.896333e-23
4.71538900720723540871e+03       -6.977336e-23
4.50720504033266297483e+03       -6.518898e-23
4.09464270172773376544e+03       -5.543640e-23
3.88919223283412156889e+03       -5.079252e-23
3.38228844466240570910e+03       -4.003146e-23
3.14574684116698745129e+03       -3.579858e-23
2.99483543530996666959e+03       -3.265299e-23
2.98008073943588760812e+03       -3.243098e-23
2.95229277875959496669e+03       -3.204207e-23
2.94043682726916358661e+03       -3.188220e-23
2.72862677625638571044e+03       -2.804299e-23
2.63539398380756301776e+03       -2.642196e-23
2.37184146035373805717e+03       -2.222550e-23
2.18348867703250971317e+03       -1.945627e-23
2.08019655324382483741e+03       -1.789687e-23
2.04298434813097401275e+03       -1.738173e-23
1.96261393422615083182e+03       -1.631301e-23
1.94692431267621782354e+03       -1.609603e-23
1.91512764206998963346e+03       -1.564046e-23
1.83966182484628643579e+03       -1.453393e-23
1.81962368783759825419e+03       -1.425894e-23
1.61220799852568643473e+03       -1.176375e-23
1.59099596167223580778e+03       -1.145901e-23
1.54477219389195988697e+03       -1.081691e-23
1.54104698835677072566e+03       -1.076875e-23
1.53979247803549583296e+03       -1.075270e-23
1.50972423375970197412e+03       -1.039548e-23
1.50900492260671876465e+03       -1.038760e-23
1.48373566582998432750e+03       -1.012938e-23
1.35247724901378614959e+03       -8.848708e-24
1.30644312084042940114e+03       -8.250560e-24
1.23859687877541091439e+03       -7.447253e-24
1.19350298233806006465e+03       -7.065458e-24
1.18047248891151048156e+03       -6.970367e-24
1.16707272112943928732e+03       -6.873849e-24
1.14702022296955169622e+03       -6.724186e-24
1.12226494104648941175e+03       -6.517388e-24
1.09704281482493775002e+03       -6.272131e-24
1.08874154580331969555e+03       -6.183933e-24
1.06724921898097750272e+03       -5.943286e-24
1.06150616284353077390e+03       -5.877144e-24
1.06133293298940179739e+03       -5.875143e-24
1.02705511326657233440e+03       -5.485387e-24
1.01475797127750388427e+03       -5.355240e-24
9.83528908730702710272e+02       -5.065758e-24
9.54405583389388766591e+02       -4.850652e-24
9.41570535854433728673e+02       -4.767630e-24
9.39319049234696080930e+02       -4.753488e-24
8.43644773550019181130e+02       -4.040639e-24
8.07857372001378848836e+02       -3.698378e-24
6.89636563068269424548e+02       -2.890748e-24
6.83407652512873937667e+02       -2.853740e-24
6.42237731986363428405e+02       -2.571742e-24
5.53317948536412586691e+02       -1.961283e-24
5.40580478395856061979e+02       -1.898117e-24
5.26241101761719164642e+02       -1.830119e-24
5.13718808339387010165e+02       -1.770155e-24
5.03600926230714378562e+02       -1.719480e-24
4.99465871064686155023e+02       -1.698019e-24
4.99426334804826865366e+02       -1.697811e-24
4.99092172866349926608e+02       -1.696055e-24
4.98783234881938597027e+02       -1.694428e-24
4.95776894098926049992e+02       -1.678437e-24
4.82060047441320250527e+02       -1.602003e-24
4.75750597658411322755e+02       -1.565156e-24
4.72858400373108509029e+02       -1.547970e-24
4.62512974189514125101e+02       -1.485679e-24
4.52627992943898505018e+02       -1.425817e-24
4.30524398139803395225e+02       -1.298315e-24
4.17852050024840139031e+02       -1.232767e-24
4.16295898748955778501e+02       -1.225189e-24
4.13804683610015672457e+02       -1.213257e-24
4.09868225185242977204e+02       -1.194876e-24
4.00092313549052676080e+02       -1.151719e-24
3.68305624680394601000e+02       -1.023212e-24
3.67492272404633013139e+02       -1.019897e-24
3.59177554874348572866e+02       -9.852004e-25
3.54985385169249127557e+02       -9.671544e-25
3.51095227671181476126e+02       -9.500456e-25
3.47681967833906867327e+02       -9.347065e-25
3.34769260154349012737e+02       -8.745881e-25
3.33649649416112424660e+02       -8.692562e-25
3.30474048059592803384e+02       -8.540672e-25
3.18900837176384470695e+02       -7.989082e-25
3.13538821892568591920e+02       -7.738793e-25
3.09008355699746118717e+02       -7.533272e-25
3.06635081520866265237e+02       -7.428280e-25
3.04836827038887292929e+02       -7.349965e-25
2.99091554240786535956e+02       -7.107556e-25
2.82084000811361249816e+02       -6.473466e-25
2.81685357932947340487e+02       -6.460065e-25
2.81408857029856903864e+02       -6.450809e-25
2.80467075588225043248e+02       -6.419514e-25
2.74106702879240060611e+02       -6.216064e-25
2.69088953936786765553e+02       -6.062812e-25
2.51930046317152829261e+02       -5.557975e-25
2.47842287533801396648e+02       -5.434638e-25
2.46947342933712349122e+02       -5.407144e-25
2.41333828488865151485e+02       -5.229524e-25
2.32003463590336252764e+02       -4.914816e-25
2.29281488372913628382e+02       -4.817798e-25
2.28007933934469349424e+02       -4.771624e-25
2.26855905065509233509e+02       -4.729488e-25
2.26787359789350432493e+02       -4.726971e-25
2.14082442915866039357e+02       -4.244786e-25
2.05858061067799383181e+02       -3.925789e-25
2.04938166334709308103e+02       -3.890390e-25
2.02801809031024419028e+02       -3.808506e-25
2.01280442680464233263e+02       -3.750585e-25
1.96654937022472495300e+02       -3.577908e-25
1.93630483494418541568e+02       -3.468627e-25
1.90427548455745721867e+02       -3.356077e-25
1.88399998592231014527e+02       -3.286549e-25
1.80416962106815503830e+02       -3.029308e-25
1.74930994009574789061e+02       -2.867713e-25
1.74485275621296977988e+02       -2.855072e-25
1.72479443373217577573e+02       -2.799169e-25
1.69137866942042734308e+02       -2.709717e-25
1.56769529518061318640e+02       -2.407648e-25
1.50560905525343798672e+02       -2.267995e-25
1.50409567617751292801e+02       -2.264626e-25
1.47261340712096426842e+02       -2.194860e-25
1.47140392092395302370e+02       -2.192196e-25
1.40491808088285608846e+02       -2.047274e-25
1.39732152982125171548e+02       -2.030719e-25
1.39588510702676757091e+02       -2.027585e-25
1.39291723029665291733e+02       -2.021105e-25
1.36514079662300986229e+02       -1.960228e-25
1.35124313669190485143e+02       -1.929721e-25
1.35080330129907849823e+02       -1.928756e-25
1.33205766408139339774e+02       -1.887736e-25
1.33025516771910417901e+02       -1.883803e-25
1.28902599062331972846e+02       -1.794259e-25
1.21459283825281971758e+02       -1.634119e-25
1.20968568128059573041e+02       -1.623853e-25
1.17842215654977565009e+02       -1.559826e-25
1.17338209079387013389e+02       -1.549711e-25
1.16018382756098191066e+02       -1.523456e-25
1.14838147439803918815e+02       -1.500255e-25
1.11622163445532905257e+02       -1.438537e-25
1.11260101426869709940e+02       -1.431749e-25
1.08558707055284429543e+02       -1.382141e-25
1.07904790327460219146e+02       -1.370347e-25
1.04323251832053045973e+02       -1.305707e-25
1.01511447074626730114e+02       -1.253128e-25
9.44787818399987457951e+01       -1.121974e-25
9.24983680463002571059e+01       -1.093992e-25
9.20014666761024386687e+01       -1.088454e-25
9.18476933944045583758e+01       -1.086884e-25
8.09095262454607535574e+01       -1.045711e-25
6.82522216690137071282e+01       -8.137387e-26
6.75089920193844648111e+01       -8.023343e-26
7.52869120767704771424e+01       -7.873619e-26
7.17293909176416946138e+01       -7.713884e-26
7.47197988539589204038e+01       -7.705621e-26
7.27353374317814029837e+01       -7.563235e-26
7.27561306107131997578e+01       -7.561345e-26
7.29979627772602412961e+01       -7.543930e-26
7.30897555920927572970e+01       -7.539623e-26
7.33248705860512757226e+01       -7.534734e-26
6.51444275131240857490e+01       -7.076952e-26
5.45329387623915948780e+01       -6.491306e-26
5.43994330682851909842e+01       -6.409039e-26
6.16652194115535792207e+01       -6.344608e-26
6.32496696077879718700e+01       -6.199061e-26
5.41523442834899810805e+01       -6.176829e-26
5.82598801690735754732e+01       -6.156231e-26
5.39670660943809394894e+01       -5.948144e-26
5.62903689796006858614e+01       -5.374164e-26
4.99882122045121164433e+01       -4.802595e-26
4.60790807362301109151e+01       -4.776062e-26
4.73513946695063765446e+01       -4.695694e-26
4.20320075064684814947e+01       -4.345681e-26
4.15112869586584594117e+01       -4.256946e-26
4.22098958181054513261e+01       -4.240446e-26
4.03601477088554929651e+01       -4.193133e-26
4.14266859278024242030e+01       -4.191369e-26
4.44878779007264526513e+01       -4.164610e-26
3.79854970667866567169e+01       -3.797897e-26
3.53052943453612897429e+01       -3.634538e-26
3.33085867488089490962e+01       -3.216361e-26
3.26093326265628036253e+01       -3.175394e-26
3.31780280171492805152e+01       -3.098603e-26
3.18640856954023448111e+01       -3.078290e-26
2.64135207194798908859e+01       -2.783072e-26
2.78387331583583659267e+01       -2.782697e-26
2.69209391968163416209e+01       -2.773322e-26
2.52149585882836646533e+01       -2.758866e-26
2.77966138231087747101e+01       -2.755757e-26
2.74572742569114893740e+01       -2.722913e-26
2.56658219029137057987e+01       -2.719130e-26
2.66893762096951796536e+01       -2.643020e-26
2.91113661379227437465e+01       -2.579971e-26
2.29233371555857843305e+01       -2.337022e-26
1.68827835138829165373e+01       -2.215035e-26
1.88381498767425306085e+01       -2.165569e-26
1.41683443593635285396e+01       -2.090874e-26
1.37932635434167671917e+01       -1.961476e-26
1.53085524581220226992e+01       -1.866307e-26
1.17968775290214722418e+01       -1.737995e-26
1.14252495842351038391e+01       -1.673476e-26
3.07335417202503258238e+00       -1.622813e-26
1.03606202409908600970e+01       -1.592325e-26
1.48213819360348431076e+00       -1.576498e-26
2.97781594944572454153e+01       -1.573591e-26
8.33709159773321317743e+00       -1.569830e-26
8.49471851245215958670e-02       -1.529847e-26
5.30568958332395101962e+00       -1.517970e-26
2.99398713369261315620e+01       -1.430895e-27
