mc	logL
4.66452854476656080000e+16       -3.192374e-01
6.53690237232336125000e+14       -2.600484e-04
3.23158538882740500000e+14       -8.037610e-05
1.93343231735560131836e+12       -1.584829e-08
1.19437643726977539062e+12       -7.101273e-09
1.03979284686020373535e+12       -5.636535e-09
3.82507642800640945435e+10       -2.293512e-11
4.55088331501341342926e+09       -6.600756e-13
3.03121049425126504898e+09       -3.353212e-13
3.98978620544550046325e+07       -2.460458e-16
5.54096130924695986323e+05       -1.974235e-19
5.35111711696643615142e+04       -4.013031e-21
2.11466852217834093608e+04       -8.548284e-22
4.62898160468885635055e+03       -6.819159e-23
4.22601338039020538417e+03       -5.849088e-23
3.72588655822745658952e+03       -4.726199e-23
3.01529484176733103595e+03       -3.298649e-23
2.92843405104468331501e+02       -6.860221e-25
1.93228026142145807853e+02       -3.454308e-25
1.30188784265990193489e+02       -1.822142e-25
1.17539851346888724493e+02       -1.553751e-25
1.11388531940989679470e+02       -1.434153e-25
1.08902474433837397783e+02       -1.388366e-25
1.05641686145350021775e+02       -1.329661e-25
1.04890411010663086699e+02       -1.316055e-25
1.03139263128075242548e+02       -1.283841e-25
1.02465883640910689678e+02       -1.271226e-25
9.94292177335688478479e+01       -1.212995e-25
9.77617438554994890865e+01       -1.180837e-25
9.39449880772143757213e+01       -1.113637e-25
8.58737624686886817926e+01       -1.082889e-25
8.66782556157715191603e+01       -1.078645e-25
8.13345677926522796497e+01       -1.057353e-25
8.05221988289457186738e+01       -1.033310e-25
7.87210477225987688144e+01       -9.554005e-26
7.76241786253135330753e+01       -8.973715e-26
6.91533682058901746359e+01       -8.151008e-26
6.96958577379318171552e+01       -8.101033e-26
6.96968024920363120600e+01       -8.100914e-26
6.98494992587383052296e+01       -8.080282e-26
7.01059754197532640774e+01       -8.040220e-26
6.73786742236080300472e+01       -7.993465e-26
7.55630892893153145451e+01       -7.973929e-26
6.60019805664620662355e+01       -7.507155e-26
6.57007420879304788741e+01       -7.364178e-26
6.51319290987444077246e+01       -7.070263e-26
6.46858053567642627968e+01       -6.829459e-26
6.23144804008934585227e+01       -6.146093e-26
5.11401359459510800320e+01       -5.951061e-26
5.17609614985752415350e+01       -5.469933e-26
5.63208305969212261743e+01       -5.350887e-26
5.03455935595557733109e+01       -5.313046e-26
5.19066327891651866366e+01       -5.290813e-26
5.19291068877629768963e+01       -5.263055e-26
5.34800582445988368363e+01       -5.261847e-26
4.85020388056094375884e+01       -5.222444e-26
5.66862105531166093897e+01       -5.158857e-26
5.01928264688047605091e+01       -5.088181e-26
4.75653447139872866956e+01       -4.975827e-26
5.00538454346309791276e+01       -4.889812e-26
4.54281318847521404791e+01       -4.865778e-26
4.54149217482964715487e+01       -4.855773e-26
4.60302724703721679589e+01       -4.818159e-26
5.27372547969668303836e+01       -4.666885e-26
4.90217381624982806443e+01       -4.654476e-26
4.97739285149886896420e+01       -4.567728e-26
4.51221362593862380663e+01       -4.562683e-26
4.50449698848442352528e+01       -4.476973e-26
4.71629100128638683032e+01       -4.475271e-26
4.93719641362813348451e+01       -4.429956e-26
4.70972176604358736540e+01       -4.413028e-26
4.64999129497918559650e+01       -4.384493e-26
4.41511733424636645395e+01       -4.350696e-26
4.67874921901734879270e+01       -4.271874e-26
4.28421018439092620156e+01       -4.111951e-26
4.13132501370612601477e+01       -4.101529e-26
3.99420903238793982837e+01       -4.077805e-26
3.98697296326647006026e+01       -4.027169e-26
4.07346514116713294129e+01       -4.010910e-26
3.98248456219036057746e+01       -3.995571e-26
4.10641503276822135149e+01       -3.962923e-26
3.91792829914744302755e+01       -3.952738e-26
3.92032708573086594583e+01       -3.940568e-26
3.92227884392968348948e+01       -3.930828e-26
3.76488906938844465344e+01       -3.925903e-26
3.74786245662738508599e+01       -3.907092e-26
3.93247698096782016819e+01       -3.885903e-26
3.95677510681272366355e+01       -3.864732e-26
3.61770101271894333195e+01       -3.685180e-26
3.59941858072007079272e+01       -3.570416e-26
3.57270692497893591622e+01       -3.552761e-26
3.44644466721538407228e+01       -3.497953e-26
3.44963793862738086204e+01       -3.492879e-26
3.48865383121003986844e+01       -3.389482e-26
3.39920077945004877051e+01       -3.237150e-26
3.26506632616441976324e+01       -3.194244e-26
3.27569490775027105656e+01       -3.188430e-26
3.31243988478858568669e+01       -3.065967e-26
3.30683862389454930053e+01       -3.048938e-26
3.30335097492645530792e+01       -3.048011e-26
3.21560107653550346640e+01       -2.911733e-26
3.22492582954702911024e+01       -2.876118e-26
3.13512715929977225926e+01       -2.832429e-26
2.83727208318757249117e+01       -2.800621e-26
2.64394951535247564323e+01       -2.783244e-26
2.68683445660855007020e+01       -2.782325e-26
2.59592550412005103055e+01       -2.774634e-26
2.51926273930754263120e+01       -2.771126e-26
2.69297710864010610976e+01       -2.768219e-26
2.63776222095381669419e+01       -2.767231e-26
2.63752055832690217585e+01       -2.765584e-26
3.14108265275205127409e+01       -2.751630e-26
3.15854334080240946037e+01       -2.735679e-26
2.54868191530193612948e+01       -2.716676e-26
2.56724623583921172099e+01       -2.711737e-26
3.15404196149299416163e+01       -2.703109e-26
2.10786388810643785519e+01       -2.701829e-26
2.56813773466153243419e+01       -2.701752e-26
2.54713986923710322685e+01       -2.697882e-26
3.15187188081763949299e+01       -2.696201e-26
2.34401267792190530770e+01       -2.642249e-26
2.71152607942319505696e+01       -2.620472e-26
2.46523938188487115042e+01       -2.596664e-26
2.42955163722891036571e+01       -2.575025e-26
3.09117248338535901553e+01       -2.568773e-26
2.87375963736785706715e+01       -2.540696e-26
2.18075035010562352511e+01       -2.528932e-26
2.01436131387326504694e+01       -2.525007e-26
3.08891527825643947835e+01       -2.521916e-26
2.38848464328586373995e+01       -2.451803e-26
2.11430969310173182407e+01       -2.437367e-26
2.91676135829897198448e+01       -2.435905e-26
1.81649752711857992438e+01       -2.398264e-26
2.22984375869949040805e+01       -2.383953e-26
1.48662271685989502146e+01       -2.367834e-26
2.00574178158010951734e+01       -2.361059e-26
2.14938052108206463231e+01       -2.333827e-26
1.54668504709175440581e+01       -2.324723e-26
1.94557830253749060034e+01       -2.323261e-26
2.08546967606112616522e+01       -2.292741e-26
1.87235942209368744216e+01       -2.284476e-26
1.77836642307654351214e+01       -2.255336e-26
1.51825068597885692867e+01       -2.252766e-26
2.06280633258492933635e+01       -2.250241e-26
1.84965587485227906939e+01       -2.240956e-26
1.49719622029861643142e+01       -2.224621e-26
1.83606284292008261616e+01       -2.218105e-26
1.99576700783791984861e+01       -2.213305e-26
1.73921475115766455133e+01       -2.209062e-26
1.62509198617240464557e+01       -2.198691e-26
1.57199514703680840455e+01       -2.195173e-26
2.08821296727048419939e+01       -2.168476e-26
2.21968917144607402747e+01       -2.155676e-26
1.89787154834905926748e+01       -2.152346e-26
1.88469821851910346311e+01       -2.149416e-26
1.88541235199046006699e+01       -2.148119e-26
1.61438263006950499800e+01       -2.143177e-26
1.68674505988276450807e+01       -2.136762e-26
1.68673210743331161154e+01       -2.135953e-26
1.66731408030703533996e+01       -2.113201e-26
2.22157419030089364753e+01       -2.089673e-26
1.68035588571133871483e+01       -2.084135e-26
1.59430190865151857338e+01       -2.078341e-26
9.78097911495397909221e+00       -2.056205e-26
1.37161104346891242756e+01       -2.050826e-26
1.30797158524753776021e+01       -2.017737e-26
1.07220938093250985901e+01       -2.007707e-26
1.40772673783445760876e+01       -1.990348e-26
1.68308554526101090687e+01       -1.977389e-26
1.58895650609814182985e+01       -1.975622e-26
1.57397702476386012194e+01       -1.959246e-26
1.35872856642084069989e+01       -1.941762e-26
1.36115488186260833459e+01       -1.928388e-26
1.10993320161050377237e+01       -1.924193e-26
1.29205635861391634478e+01       -1.912576e-26
1.48283838577712394624e+01       -1.910467e-26
1.41949597808043748159e+01       -1.908358e-26
1.12972462868272920389e+01       -1.907222e-26
1.44329418824952107059e+01       -1.901959e-26
1.05873306088239278466e+01       -1.897785e-26
1.41971519713212614988e+01       -1.894950e-26
1.44395160746743460578e+01       -1.892113e-26
9.13615000731927295874e+00       -1.889617e-26
1.46113933283193500046e+01       -1.887178e-26
8.45326692816373181927e+00       -1.882519e-26
1.41082763017482104573e+01       -1.881410e-26
1.40574509628011341533e+01       -1.873556e-26
1.18695302142556915470e+01       -1.868843e-26
1.15292894434039254747e+01       -1.864059e-26
1.05578848105420490811e+01       -1.856379e-26
1.26629154331285569413e+01       -1.854989e-26
1.25291299050544608917e+01       -1.853769e-26
1.37586049603402678088e+01       -1.849314e-26
1.86444111147437823206e+01       -1.839805e-26
7.79937769276328118906e+00       -1.836926e-26
1.48244611448985352808e+01       -1.829262e-26
1.32426940728339452846e+01       -1.800390e-26
1.55324813098142993084e+01       -1.792302e-26
1.40441023263102522378e+01       -1.786844e-26
1.16820631395151792731e+01       -1.786207e-26
9.68791689205379924488e+00       -1.785197e-26
1.06647218534243641841e+01       -1.782987e-26
1.16122456438363705900e+01       -1.769569e-26
1.18492174030720907041e+01       -1.767563e-26
1.23898772898541196241e+01       -1.764036e-26
1.43061094059143023571e+01       -1.756157e-26
5.40154995853577801768e+00       -1.756110e-26
1.09553414727803488660e+01       -1.753493e-26
5.34253473104215892420e+00       -1.752069e-26
1.01177292818805923957e+01       -1.749793e-26
7.25791719021667169898e+00       -1.747326e-26
1.12282980281041275816e+01       -1.739619e-26
7.49057289600553843911e+00       -1.739216e-26
5.33552769668237569789e+00       -1.733783e-26
1.24302583140741162993e+01       -1.732724e-26
1.00065320236842900670e+01       -1.724401e-26
6.17965311339661838019e+00       -1.716253e-26
1.10012844726097362980e+01       -1.713322e-26
6.70627896820851709947e+00       -1.710668e-26
4.74024207469923553049e+00       -1.709126e-26
7.89441523535128553135e+00       -1.707481e-26
6.51233648143640309058e+00       -1.707323e-26
1.20512577402839919927e+01       -1.704471e-26
1.43113116307047771869e+01       -1.695898e-26
1.33205954122007064200e+01       -1.684183e-26
7.92964357407116615661e+00       -1.682458e-26
7.21034937518844110116e+00       -1.678042e-26
6.71631570576859449062e+00       -1.677828e-26
3.08441227066313317096e+00       -1.676886e-26
1.14358379749624354815e+01       -1.676202e-26
6.67325580713630372998e+00       -1.666651e-26
2.81705284767014463299e+00       -1.664416e-26
6.43725803698383458595e+00       -1.663691e-26
1.14343079810100682892e+01       -1.660953e-26
1.14340213014317466644e+01       -1.658610e-26
1.14338811776352589078e+01       -1.657527e-26
1.03270253293117999505e+01       -1.653629e-26
3.43923618732797597985e+00       -1.653051e-26
1.08117986182007879137e+01       -1.648557e-26
3.93208153152758654869e+00       -1.641176e-26
7.61688987340651468827e+00       -1.639417e-26
3.02431149304534407918e+00       -1.629534e-26
5.25526225413665848407e+00       -1.628818e-26
4.64692316800887095241e+00       -1.626885e-26
1.13404314503890741861e+01       -1.625878e-26
1.38570564236854920637e+01       -1.623520e-26
4.55433315993153176038e+00       -1.620261e-26
4.69074975358396706326e+00       -1.619655e-26
2.45685189102099332814e+00       -1.615300e-26
6.55876482913165759214e+00       -1.609926e-26
3.04133832907606782570e+00       -1.609561e-26
6.27562761727200602024e+00       -1.608986e-26
4.51376275237368584925e+00       -1.604510e-26
1.45608707448425223063e+00       -1.600371e-26
7.41632158283672815458e+00       -1.598778e-26
9.36505552740152680258e+00       -1.595436e-26
6.23026137842974492287e+00       -1.594785e-26
5.55136663147286846254e+00       -1.594498e-26
1.27976271698748060857e+01       -1.593894e-26
4.87842304078958477476e+00       -1.592535e-26
2.04252286351085032834e+00       -1.586642e-26
5.67985657535254517825e+00       -1.585566e-26
9.60406387823756091393e+00       -1.584502e-26
3.02258266653590190742e+01       -1.584431e-26
2.43522847198481073860e+00       -1.580508e-26
6.85701349674955551450e+00       -1.579263e-26
2.78402107743809112961e+00       -1.579054e-26
2.95467847565124408504e+00       -1.577752e-26
1.97924552955810217902e+00       -1.576241e-26
4.71762268395069206406e+00       -1.576050e-26
7.74833349608987020929e+00       -1.572670e-26
5.63367744208881937595e+00       -1.571756e-26
2.69894244041775621668e+00       -1.571579e-26
1.96771920147713741400e+00       -1.570844e-26
5.97242439940353975203e+00       -1.569984e-26
7.17408016542438176089e+00       -1.569810e-26
5.74995419631273119165e+00       -1.569764e-26
7.26564110206481039711e+00       -1.567948e-26
2.57205485639869557701e+00       -1.567857e-26
4.85638270381161607503e+00       -1.564681e-26
1.06371173890180159560e+00       -1.561050e-26
8.70423043262331042058e+00       -1.558136e-26
7.34613348574898061827e+00       -1.556016e-26
4.15415202604466315961e+00       -1.554505e-26
5.01633023744322592563e+00       -1.554288e-26
3.12741868573041692514e+00       -1.552573e-26
6.60822559384170382657e+00       -1.552478e-26
1.78740018824076019044e+00       -1.549076e-26
3.14102025099615644876e+00       -1.548966e-26
1.45343934289276921490e+00       -1.547521e-26
1.78552892125241369214e+00       -1.547451e-26
1.41785012262269738414e+00       -1.545759e-26
4.98148652395497304468e+00       -1.545644e-26
1.20596547253787678144e+00       -1.545578e-26
2.66898940044251320458e+00       -1.540230e-26
2.73409883068460057842e+00       -1.539349e-26
5.80856755028333782143e-01       -1.539230e-26
