mc	logL
5.09867448790604171904e+00       -1.539203e-26
6.42115739807489704916e-01       -1.538550e-26
1.49139769200075833488e+00       -1.537952e-26
2.40083471747797716489e+00       -1.536790e-26
5.14990145241447638824e+00       -1.536454e-26
3.47150913645386083317e-01       -1.535550e-26
5.81404156910061331587e+00       -1.535469e-26
2.45627175549648946173e+00       -1.535080e-26
3.34542337376699805418e-01       -1.534246e-26
8.34643117925870292595e+00       -1.534118e-26
2.41841334868795199142e+00       -1.533616e-26
3.44688594149973859260e+00       -1.532081e-26
3.76740876250027667549e-01       -1.531205e-26
2.88239508504104513520e-02       -1.530256e-26
1.78084073656316732581e-01       -1.527677e-26
7.31054085066285708194e+00       -1.526084e-26
2.01710084603172079554e+00       -1.525133e-26
1.00459245531797680684e+00       -1.525133e-26
2.28287309283833117490e-01       -1.523960e-26
8.88811412329935990329e-01       -1.520561e-26
9.89228483105746825288e+00       -1.513083e-26
1.91024832215273798752e+00       -1.509950e-26
3.08274411734025521881e+00       -1.506998e-26
3.93919584474792161544e+00       -1.506988e-26
2.09448179039476301000e+00       -1.500150e-26
4.24621397485032403551e+00       -1.492188e-26
4.84158121442699851400e+00       -1.483973e-26
2.13662737511163847159e+00       -1.483573e-26
1.55278447026754129467e+00       -1.480769e-26
3.14610928478247764417e+00       -1.473002e-26
3.10409421275214514324e+00       -1.469013e-26
4.84731416417296046006e+00       -1.457961e-26
5.18191633478710667049e+00       -1.457150e-26
8.06559279123042394133e+00       -1.389167e-26
2.98026548783536178178e+01       -1.308211e-26
2.98401025941988535806e+01       -9.151516e-27
3.00967849771252851099e+01       -3.570171e-27
2.99331276859640631471e+01       -1.763336e-27
3.00447077395018951051e+01       -7.917022e-28
3.00243024884781739559e+01       -2.358382e-28
3.00024346074908869753e+01       -2.376985e-30
